,Date,Value,Anomaly,state
316,196407,7.29,1.90,Unnamed: 0
317,196507,5.94,0.55,Unnamed: 0
318,196607,4.04,-1.35,Unnamed: 0
319,196707,6.91,1.52,Unnamed: 0
320,196807,5.26,-0.13,Unnamed: 0
321,196907,5.46,0.07,Unnamed: 0
322,197007,4.05,-1.34,Unnamed: 0
323,197107,7.41,2.02,Unnamed: 0
324,197207,4.51,-0.88,Unnamed: 0
325,197307,5.45,0.06,Unnamed: 0
326,197407,4.39,-1.00,Unnamed: 0
327,197507,8.22,2.83,Unnamed: 0
328,197607,4.52,-0.87,Unnamed: 0
329,197707,5.09,-0.30,Unnamed: 0
330,197807,4.30,-1.09,Unnamed: 0
331,197907,7.56,2.17,Unnamed: 0
332,198007,2.96,-2.43,Unnamed: 0
333,198107,3.85,-1.54,Unnamed: 0
334,198207,6.08,0.69,Unnamed: 0
335,198307,1.98,-3.41,Unnamed: 0
336,198407,5.76,0.37,Unnamed: 0
337,198507,7.17,1.78,Unnamed: 0
338,198607,3.89,-1.50,Unnamed: 0
339,198707,3.29,-2.10,Unnamed: 0
340,198807,6.66,1.27,Unnamed: 0
341,198907,7.76,2.37,Unnamed: 0
342,199007,3.75,-1.64,Unnamed: 0
343,199107,4.46,-0.93,Unnamed: 0
344,199207,6.07,0.68,Unnamed: 0
345,199307,2.88,-2.51,Unnamed: 0
346,199407,9.43,4.04,Unnamed: 0
347,199507,3.87,-1.52,Unnamed: 0
348,199607,6.63,1.24,Unnamed: 0
349,199707,5.33,-0.06,Unnamed: 0
350,199807,6.07,0.68,Unnamed: 0
351,199907,4.63,-0.76,Unnamed: 0
352,200007,2.26,-3.13,Unnamed: 0
353,200107,3.95,-1.44,Unnamed: 0
354,200207,5.38,-0.01,Unnamed: 0
355,200307,7.74,2.35,Unnamed: 0
356,200407,4.43,-0.96,Unnamed: 0
357,200507,9.19,3.80,Unnamed: 0
358,200607,3.33,-2.06,Unnamed: 0
359,200707,5.20,-0.19,Unnamed: 0
360,200807,4.04,-1.35,Unnamed: 0
361,200907,5.59,0.20,Unnamed: 0
362,201007,3.50,-1.89,Unnamed: 0
363,201107,5.52,0.13,Unnamed: 0
364,196008,5.70,1.51,Unnamed: 0
365,196108,5.03,0.84,Unnamed: 0
366,196208,2.74,-1.45,Unnamed: 0
367,196308,2.72,-1.47,Unnamed: 0
368,196408,4.70,0.51,Unnamed: 0
369,196508,4.38,0.19,Unnamed: 0
370,196608,4.97,0.78,Unnamed: 0
371,196708,6.76,2.57,Unnamed: 0
372,196808,3.69,-0.50,Unnamed: 0
373,196908,4.96,0.77,Unnamed: 0
374,197008,6.24,2.05,Unnamed: 0
375,197108,4.05,-0.14,Unnamed: 0
376,197208,2.42,-1.77,Unnamed: 0
377,197308,3.62,-0.57,Unnamed: 0
378,197408,6.00,1.81,Unnamed: 0
379,197508,5.56,1.37,Unnamed: 0
380,197608,3.33,-0.86,Unnamed: 0
381,197708,4.27,0.08,Unnamed: 0
382,197808,4.07,-0.12,Unnamed: 0
383,197908,4.19,0.00,Unnamed: 0
384,198008,2.51,-1.68,Unnamed: 0
385,198108,4.78,0.59,Unnamed: 0
386,198208,3.77,-0.42,Unnamed: 0
387,198308,3.07,-1.12,Unnamed: 0
388,198408,5.61,1.42,Unnamed: 0
389,198508,4.79,0.60,Unnamed: 0
390,198608,4.42,0.23,Unnamed: 0
391,198708,3.71,-0.48,Unnamed: 0
392,198808,3.42,-0.77,Unnamed: 0
393,198908,2.44,-1.75,Unnamed: 0
394,199008,1.92,-2.27,Unnamed: 0
395,199108,3.93,-0.26,Unnamed: 0
396,199208,5.87,1.68,Unnamed: 0
397,199308,4.72,0.53,Unnamed: 0
398,199408,2.91,-1.28,Unnamed: 0
399,199508,4.79,0.60,Unnamed: 0
400,199608,4.70,0.51,Unnamed: 0
401,199708,2.88,-1.31,Unnamed: 0
402,199808,3.44,-0.75,Unnamed: 0
403,199908,2.02,-2.17,Unnamed: 0
404,200008,2.36,-1.83,Unnamed: 0
405,200108,5.48,1.29,Unnamed: 0
406,200208,3.24,-0.95,Unnamed: 0
407,200308,5.70,1.51,Unnamed: 0
408,200408,4.48,0.29,Unnamed: 0
409,200508,6.01,1.82,Unnamed: 0
410,200608,3.91,-0.28,Unnamed: 0
411,200708,2.67,-1.52,Unnamed: 0
412,200808,8.89,4.70,Unnamed: 0
413,200908,5.49,1.30,Unnamed: 0
414,201008,4.83,0.64,Unnamed: 0
415,201108,2.05,-2.14,Unnamed: 0
416,196009,5.34,1.47,Unnamed: 0
417,196109,2.76,-1.11,Unnamed: 0
418,196209,3.37,-0.50,Unnamed: 0
419,196309,3.04,-0.83,Unnamed: 0
420,196409,3.53,-0.34,Unnamed: 0
421,196509,3.98,0.11,Unnamed: 0
422,196609,4.30,0.43,Unnamed: 0
423,196709,3.36,-0.51,Unnamed: 0
424,196809,2.73,-1.14,Unnamed: 0
425,196909,4.42,0.55,Unnamed: 0
426,197009,1.86,-2.01,Unnamed: 0
427,197109,4.81,0.94,Unnamed: 0
428,197209,3.78,-0.09,Unnamed: 0
429,197309,3.77,-0.10,Unnamed: 0
430,197409,6.52,2.65,Unnamed: 0
431,197509,6.72,2.85,Unnamed: 0
432,197609,3.74,-0.13,Unnamed: 0
433,197709,7.02,3.15,Unnamed: 0
434,197809,2.00,-1.87,Unnamed: 0
435,197909,7.43,3.56,Unnamed: 0
436,198009,5.18,1.31,Unnamed: 0
437,198109,2.07,-1.80,Unnamed: 0
438,198209,2.03,-1.84,Unnamed: 0
439,198309,4.61,0.74,Unnamed: 0
440,198409,0.62,-3.25,Unnamed: 0
