Unmaned:0,Date,Value,Anomaly,state
246,199804,39.1,5.8,Connecticut
247,199904,36.1,2.8,Connecticut
248,200004,36,2.7,Connecticut
249,200104,34.3,1,Connecticut
250,200204,39,5.7,Connecticut
251,200304,31.4,-1.9,Connecticut
252,200404,33.3,0,Connecticut
253,200504,33.9,0.6,Connecticut
254,200604,37.2,3.9,Connecticut
255,200704,33.6,0.3,Connecticut
256,200804,36.4,3.1,Connecticut
257,200904,34.3,1,Connecticut
258,201004,38,4.7,Connecticut
259,201104,34.1,0.8,Connecticut
260,196004,40.3,-0.3,Delaware
261,196104,39.2,-1.4,Delaware
262,196204,39.8,-0.8,Delaware
263,196304,39.5,-1.1,Delaware
264,196404,40.4,-0.2,Delaware
265,196504,38.5,-2.1,Delaware
266,196604,38.8,-1.8,Delaware
267,196704,40.3,-0.3,Delaware
268,196804,39.3,-1.3,Delaware
269,196904,39.4,-1.2,Delaware
270,197004,37.6,-3,Delaware
271,197104,39,-1.6,Delaware
272,197204,40.2,-0.4,Delaware
273,197304,42.1,1.5,Delaware
274,197404,43,2.4,Delaware
275,197504,41,0.4,Delaware
276,197604,43.6,3,Delaware
277,197704,40.3,-0.3,Delaware
278,197804,36.3,-4.3,Delaware
279,197904,38.6,-2,Delaware
280,198004,39.5,-1.1,Delaware
281,198104,40.6,0,Delaware
282,198204,38.5,-2.1,Delaware
283,198304,41.4,0.8,Delaware
284,198404,39.4,-1.2,Delaware
285,198504,41.6,1,Delaware
286,198604,40.9,0.3,Delaware
287,198704,39.8,-0.8,Delaware
288,198804,39.9,-0.7,Delaware
289,198904,41.9,1.3,Delaware
290,199004,46,5.4,Delaware
291,199104,44.3,3.7,Delaware
292,199204,41.7,1.1,Delaware
293,199304,40.5,-0.1,Delaware
294,199404,40.5,-0.1,Delaware
295,199504,42.6,2,Delaware
296,199604,40.1,-0.5,Delaware
297,199704,42.9,2.3,Delaware
298,199804,46,5.4,Delaware
299,199904,43,2.4,Delaware
300,200004,43.4,2.8,Delaware
301,200104,41.7,1.1,Delaware
302,200204,46.1,5.5,Delaware
303,200304,39.7,-0.9,Delaware
304,200404,41.4,0.8,Delaware
305,200504,41.4,0.8,Delaware
306,200604,45,4.4,Delaware
307,200704,41.5,0.9,Delaware
308,200804,44.2,3.6,Delaware
309,200904,41.9,1.3,Delaware
310,201004,42.6,2,Delaware
311,201104,42.6,2,Delaware
312,196004,60.8,-1.8,Florida
313,196104,62.3,-0.3,Florida
314,196204,62.8,0.2,Florida
315,196304,61.9,-0.7,Florida
316,196404,61.9,-0.7,Florida
317,196504,63.6,1,Florida
318,196604,60.7,-1.9,Florida
319,196704,63.9,1.3,Florida
320,196804,60.3,-2.3,Florida
321,196904,60.2,-2.4,Florida
322,197004,60.8,-1.8,Florida
323,197104,61.4,-1.2,Florida
324,197204,64.3,1.7,Florida
325,197304,62.2,-0.4,Florida
326,197404,66,3.4,Florida
327,197504,65.4,2.8,Florida
328,197604,62.8,0.2,Florida
329,197704,60.5,-2.1,Florida
330,197804,58.8,-3.8,Florida
331,197904,61.3,-1.3,Florida
332,198004,61.8,-0.8,Florida
333,198104,60.3,-2.3,Florida
334,198204,64.9,2.3,Florida
335,198304,60,-2.6,Florida
336,198404,61.5,-1.1,Florida
337,198504,62.2,-0.4,Florida
338,198604,62.4,-0.2,Florida
339,198704,61.3,-1.3,Florida
340,198804,61.1,-1.5,Florida
341,198904,65.6,3,Florida
342,199004,66.1,3.5,Florida
343,199104,65.8,3.2,Florida
344,199204,62.5,-0.1,Florida
345,199304,62.5,-0.1,Florida
346,199404,64.7,2.1,Florida
347,199504,63.1,0.5,Florida
348,199604,60.9,-1.7,Florida
349,199704,65.6,3,Florida
350,199804,63.1,0.5,Florida
351,199904,64.5,1.9,Florida
352,200004,63.7,1.1,Florida
353,200104,63.1,0.5,Florida
354,200204,64.8,2.2,Florida
355,200304,63.2,0.6,Florida
356,200404,62.3,-0.3,Florida
357,200504,62.6,0,Florida
358,200604,64.1,1.5,Florida
359,200704,63.5,0.9,Florida
360,200804,63.9,1.3,Florida
361,200904,62.4,-0.2,Florida
362,201004,58.5,-4.1,Florida
363,201104,64.1,1.5,Florida
364,196004,50.4,-2.9,Georgia
365,196104,52.5,-0.8,Georgia
366,196204,52.9,-0.4,Georgia
367,196304,52.1,-1.2,Georgia
368,196404,51.5,-1.8,Georgia
369,196504,53.3,0,Georgia
370,196604,50.9,-2.4,Georgia
371,196704,54.8,1.5,Georgia
372,196804,50.5,-2.8,Georgia
373,196904,50.6,-2.7,Georgia
374,197004,51.3,-2,Georgia
375,197104,51.5,-1.8,Georgia
376,197204,54.3,1,Georgia
377,197304,52.7,-0.6,Georgia
378,197404,57.5,4.2,Georgia
379,197504,54.6,1.3,Georgia
380,197604,54.5,1.2,Georgia
381,197704,51,-2.3,Georgia
382,197804,48.9,-4.4,Georgia
383,197904,51.5,-1.8,Georgia
384,198004,51.7,-1.6,Georgia
385,198104,52,-1.3,Georgia
386,198204,53.6,0.3,Georgia
387,198304,50.5,-2.8,Georgia
388,198404,52.1,-1.2,Georgia
389,198504,52.7,-0.6,Georgia
390,198604,54.2,0.9,Georgia
391,198704,51.7,-1.6,Georgia
392,198804,51.5,-1.8,Georgia
393,198904,55.7,2.4,Georgia
394,199004,57,3.7,Georgia
395,199104,55.9,2.6,Georgia
396,199204,53.7,0.4,Georgia
397,199304,52.1,-1.2,Georgia
398,199404,54.2,0.9,Georgia
399,199504,54.3,1,Georgia
